Date,Name,Icon,Meal,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
10/10/2020,Calories,Calories,Breakfast,22.0,Each,220,0,0,0,0,0,0,0,0,0
10/10/2020,"Cookies, White Chocolate Macadamia Nut",Cookie,Evening Snacks,1.0,Piece,75,0,4.50,1,8,2.25,6,0,10,70
10/10/2020,"Rice Cake, Apple Cinnamon",RiceCake,Evening Snacks,2.0,Each,100,0,0,2,22,0,6,0,0,0
10/10/2020,Calories,Calories,Evening Snacks,15.0,Each,150,0,0,0,0,0,0,0,0,0
10/10/2020,8-Inch Flour Tortillas,Tortilla,Dinner,1.0,Serving,140,0,4,3,23,2,1,0,0,350
10/10/2020,"Beef, Ground, 90% Lean (Ground Sirloin)",Beef,Dinner,4.0,Ounces,190,0,11,23,0,4.50,0,n/a,70,70
10/10/2020,Tortilla chips,TortillaChip,Dinner,40.0,Grams,200,0,8.57,2.86,28.57,0.71,n/a,1.43,0,164.29
10/10/2020,"Tequila, 80 Proof",Alcohol,Dinner,1.5,Fluid ounces,96,0,0,0,0,0,0,0,0,0.42
10/10/2020,"Juice, Lime",Lime,Dinner,1.5,Ounces,11,0,0.3,0.18,3.58,0,0.72,0.17,0,0.85
10/10/2020,"Simple Syrup, 1:1",SugarWhite,Dinner,1.5,Fluid ounces,135,0,0,0,33.75,0,33.75,0,0,0
10/10/2020,Calories,Calories,Dinner,11.5,Each,115,0,0,0,0,0,0,0,0,0
10/10/2020,"Beer, Pilsner",Beer,Dinner,12.0,Fluid ounces,155,0,0,0.10,14.50,0,n/a,n/a,0,n/a
10/10/2020,"Rice Cake, Chocolate Crunch",RiceCake,Evening Snacks,1.0,Each,60,0,1,1,12,0,4,0,0,40
10/10/2020,"Crackers, Goldfish, Cheddar",Snack,Evening Snacks,21.0,Grams,98,0,3.50,2.10,14,0.70,0,1.40,1.75,168
10/10/2020,Calories,Calories,Evening Snacks,24.0,Each,240,0,0,0,0,0,0,0,0,0
10/11/2020,Bacon,Bacon,Breakfast,2.0,Slices,92,0,7.20,6.20,0.20,2.40,0,0,18,392
10/11/2020,"Eggs, Lrg Brown, Omega-3, Ctn",Egg,Breakfast,1.5,Each,90,0,6,9,0,2.25,0,0,315,105
10/11/2020,Calories,Calories,Breakfast,7.0,Each,70,0,0,0,0,0,0,0,0,0
10/11/2020,Calories,Calories,Breakfast,1.5,Each,15,0,0,0,0,0,0,0,0,0
10/11/2020,"Ham, Deli, Sliced, Black Forest",Pork,Lunch,4.3,Ounces,218,0,4.35,37.1,6.53,2.18,0,0,97.96,761.89
10/11/2020,"Bun, Hamburger, Plain",Hamburger,Lunch,1.0,Serving,110,0,1,3,20,n/a,2,n/a,n/a,180
10/11/2020,Chips - Pringles (BBQ),PotatoChip,Evening Snacks,9.0,Pieces,90,1,5.40,0.60,9.60,1.50,0.60,0,0,81
10/11/2020,BBQ,PotatoChip,Lunch,9.0,Pieces,90,0,5.40,0.60,9.60,1.50,0.60,0,0,81
10/11/2020,Double Chocolate Chip Cookies,Cookie,Evening Snacks,1.0,Each,70,0,4,1,8.50,n/a,n/a,0.50,n/a,n/a
10/11/2020,"Rice Cake, Apple Cinnamon",RiceCake,Evening Snacks,1.0,Each,50,0,0,1,11,0,3,0,0,0
10/11/2020,"Crackers, Goldfish, Cheddar",Snack,Evening Snacks,30.0,Grams,140,0,5,3,20,1,0,2,2.50,240
10/11/2020,Calories,Calories,Dinner,52.0,Each,520,0,0,0,0,0,0,0,0,0
10/11/2020,Calories,Calories,Dinner,20.0,Each,200,0,0,0,0,0,0,0,0,0
10/11/2020,"Rice Cake, Chocolate Crunch",RiceCake,Evening Snacks,1.0,Each,60,0,1,1,12,0,4,0,0,40
10/11/2020,Calories,Calories,Evening Snacks,14.5,Each,145,0,0,0,0,0,0,0,0,0
10/12/2020,Calories,Calories,Breakfast,20.0,Each,200,0,0,0,0,0,0,0,0,0
10/12/2020,Glazed Raised Ring,Donut,Lunch,1.0,Serving,390,0,20,6,49,7,13,0.50,0,330
10/12/2020,Nutrigrain Apple Bar,Grain,Evening Snacks,1.0,Serving,130,0,3.50,2,25,0.50,13,1,n/a,125
10/12/2020,Calories,Calories,Dinner,50.0,Each,500,0,0,0,0,0,0,0,0,0
10/12/2020,Calories,Calories,Dinner,22.5,Each,225,0,0,0,0,0,0,0,0,0
10/12/2020,"Rice Cake, Chocolate Crunch",RiceCake,Evening Snacks,1.0,Each,60,0,1,1,12,0,4,0,0,40
10/12/2020,Calories,Calories,Evening Snacks,17.5,Each,175,0,0,0,0,0,0,0,0,0
10/12/2020,Calories,Calories,Evening Snacks,20.5,Each,205,0,0,0,0,0,0,0,0,0
10/12/2020,Double Chocolate Chip Cookies,Cookie,Evening Snacks,1.0,Each,70,0,4,1,8.50,n/a,n/a,0.50,n/a,n/a
10/13/2020,Calories,Calories,Breakfast,20.0,Each,200,0,0,0,0,0,0,0,0,0
10/13/2020,Calories,Calories,Lunch,50.0,Each,500,0,0,0,0,0,0,0,0,0
10/13/2020,Double Chocolate Chip Cookies,Cookie,Evening Snacks,1.0,Each,70,0,4,1,8.50,n/a,n/a,0.50,n/a,n/a
10/13/2020,"Snack, Bar, Rice Krispies Treats, Original",Cookie,Evening Snacks,1.0,Piece,90,0,2.50,1,17,1,7,0,0,105
10/13/2020,Fruit Snacks,Snack,Evening Snacks,0.89,Package,80,0,0,0.18,4.9,0,2.14,0,0,1.78
10/13/2020,"Apple, Small",Apple,Evening Snacks,1.0,Each,78,0,0.30,0.40,21,0,15,3.60,0,1
10/13/2020,"Rice Cake, Apple Cinnamon",RiceCake,Evening Snacks,1.0,Each,50,0,0,1,11,0,3,0,0,0
10/13/2020,"Rice Cake, Chocolate Crunch",RiceCake,Evening Snacks,1.0,Each,60,0,1,1,12,0,4,0,0,40
10/13/2020,"Pierogies, 4 Cheese Medley",Dumpling,Dinner,7.0,Pieces,490,0,15.75,12.25,75.25,3.50,3.50,3.50,17.50,1155
10/13/2020,Calories,Calories,Dinner,3.5,Each,35,0,0,0,0,0,0,0,0,0
10/13/2020,Easy Quinoa,Rice,Dinner,2.0,Servings,320,0,5,14,48,n/a,0,6,n/a,460
10/13/2020,"Bourbon, 80 Proof",Alcohol,Evening Snacks,2.0,Fluid ounces,128,0,0,0,0,0,0,0,0,0.56
10/13/2020,"Liquor, Vermouth, Extra Dry",Alcohol,Evening Snacks,0.75,Ounce,24,0,0,0,0.15,0,0,0,0,1.50
10/14/2020,Calories,Calories,Breakfast,27.5,Each,275,0,0,0,0,0,0,0,0,0
10/14/2020,Hot Dog Bun,HotDogBun,Lunch,1.0,Piece,140,0,1.50,4,27,0,4,1,0,270
10/14/2020,"Sausage, Link, Italian, Hot",Sausage,Lunch,84.0,Grams,230,0,18,9,6,7,3,0,65,640
10/14/2020,Chips - Pringles (BBQ),PotatoChip,Lunch,10.0,Pieces,100,0,6,0.67,10.67,1.67,0.67,0,0,90
10/14/2020,"Bar, Apple Cinnamon",Bar,Evening Snacks,1.0,Each,130,0,3.50,2,25,0.50,13,1,0,125
10/14/2020,Seasoned Chicken Breast Fillets,Chicken,Dinner,0.88,Piece,132,0,1.32,28.16,1.76,0,0,0,83.60,299.20
10/14/2020,8-Inch Flour Tortillas,Tortilla,Dinner,1.0,Serving,140,0,4,3,23,2,1,0,0,350
10/14/2020,Chilipeño Tortilla Chips,TortillaChip,Dinner,13.0,Each,150,0,8,2,17,0.50,1,2,0,260
10/14/2020,Calories,Calories,Dinner,10.0,Each,100,0,0,0,0,0,0,0,0,0
10/14/2020,"Rice Cake, Apple Cinnamon",RiceCake,Evening Snacks,1.0,Each,50,0,0,1,11,0,3,0,0,0
10/14/2020,Calories,Calories,Evening Snacks,16.5,Each,165,0,0,0,0,0,0,0,0,0
10/14/2020,Calories,Calories,Evening Snacks,15.0,Each,150,0,0,0,0,0,0,0,0,0
10/15/2020,Calories,Calories,Breakfast,20.5,Each,205,0,0,0,0,0,0,0,0,0
10/15/2020,Calories,Calories,Lunch,52.0,Each,520,0,0,0,0,0,0,0,0,0
10/15/2020,Calories,Calories,Evening Snacks,8.6,Each,86,0,0,0,0,0,0,0,0,0
10/15/2020,"Peanut Butter, Creamy",PeanutButter,Evening Snacks,17.0,Grams,98,0,8.24,3.61,4.12,1.29,1.55,1.3,0,72.12
10/15/2020,Calories,Calories,Dinner,130.0,Each,"1,300",0,0,0,0,0,0,0,0,0
10/16/2020,Calories,Calories,Breakfast,17.5,Each,175,0,0,0,0,0,0,0,0,0
10/16/2020,Calories,Calories,Lunch,40.0,Each,400,0,0,0,0,0,0,0,0,0
10/16/2020,Calories,Calories,Evening Snacks,17.0,Each,170,0,0,0,0,0,0,0,0,0
10/16/2020,"Any'tizers, Popcorn Chicken, White Meat, Fritters",ChickenTenders,Dinner,135.0,Grams,270,0,11.11,22.22,22.22,1.61,0,3.21,39.68,952.40
10/16/2020,Roasted Garlic Pasta Sauce,Sauce,Dinner,0.25,Cup,30,0,1,0.50,5,0,3,1,0,290
10/16/2020,Parmesan Cheese,Cheese,Dinner,0.068,Cup,30,0,1.90,2.72,0.54,1.22,0,0,5.44,100.64
10/16/2020,"Pasta, Protein Plus, Thin Spaghetti",Pasta,Dinner,0.125,Box,200,0,1,7,42,0,1,3,0,0
10/16/2020,"Rice Cake, Apple Cinnamon",RiceCake,Evening Snacks,1.0,Each,50,0,0,1,11,0,3,0,0,0
10/16/2020,Calories,Calories,Evening Snacks,20.5,Each,205,0,0,0,0,0,0,0,0,0
10/16/2020,Calories,Calories,Evening Snacks,6.0,Each,60,0,0,0,0,0,0,0,0,0
10/16/2020,Double Chocolate Cookies,Cookie,Evening Snacks,2.0,Pieces,140,0,14,2,30,8,22,2,50,260
10/16/2020,"Pear, Small",Pear,Evening Snacks,1.0,Each,86,0,0.18,0.56,22.88,0.1,14.50,4.59,0,1.48
10/16/2020,Calories,Calories,Evening Snacks,8.0,Each,80,0,0,0,0,0,0,0,0,0
10/17/2020,Calories,Calories,Breakfast,17.6,Each,176,0,0,0,0,0,0,0,0,0
10/17/2020,Calories,Calories,Breakfast,6.0,Each,60,0,0,0,0,0,0,0,0,0
10/17/2020,Calories,Calories,Breakfast,4.0,Each,40,0,0,0,0,0,0,0,0,0
10/17/2020,"Bar, Apple Cinnamon",Bar,Evening Snacks,1.0,Each,130,0,3.50,2,25,0.50,13,1,0,125
10/17/2020,Calories,Calories,Lunch,40.0,Each,400,0,0,0,0,0,0,0,0,0
10/17/2020,"Rice Cake, Apple Cinnamon",RiceCake,Evening Snacks,1.0,Each,50,0,0,1,11,0,3,0,0,0
10/17/2020,Chicken Potstickers,Dumpling,Dinner,5.0,Pieces,250,0,6.67,8.33,35,n/a,5,1.67,25,783.33
10/17/2020,Calories,Calories,Dinner,19.0,Each,190,0,0,0,0,0,0,0,0,0
10/17/2020,Calories,Calories,Dinner,18.0,Each,180,0,0,0,0,0,0,0,0,0
10/17/2020,"Bourbon, 94 Proof",Alcohol,Evening Snacks,2.0,Fluid ounces,153,0,0,0,0,0,0,0,0,0.56
10/17/2020,Chambord Liqueur,Alcohol,Evening Snacks,1.0,Fluid ounce,103,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/17/2020,Beer,Beer,Evening Snacks,1.0,Serving,144,0,n/a,n/a,14,n/a,n/a,n/a,n/a,n/a
10/17/2020,"Crackers, Goldfish, Cheddar",Snack,Evening Snacks,1.0,Serving,140,0,5,3,20,1,0,2,2.50,240
10/18/2020,Calories,Calories,Breakfast,20.0,Each,200,0,0,0,0,0,0,0,0,0
10/18/2020,"Any'tizers, Popcorn Chicken, White Meat, Fritters",ChickenTenders,Lunch,156.0,Grams,312,0,12.84,25.68,25.68,1.86,0,3.71,45.86,1100.55
10/18/2020,Chilipeño Tortilla Chips,TortillaChip,Lunch,10.0,Each,115,0,6.15,1.54,13.8,0.38,0.77,1.54,0,200
10/18/2020,Calories,Calories,Lunch,2.3,Each,23,0,0,0,0,0,0,0,0,0
10/18/2020,Calories,Calories,Evening Snacks,18.0,Each,180,0,0,0,0,0,0,0,0,0
10/18/2020,"Rice Cake, Apple Cinnamon",RiceCake,Evening Snacks,1.0,Each,50,0,0,1,11,0,3,0,0,0
10/18/2020,Yams Baked,Yam,Dinner,260.0,Grams,275,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/18/2020,Seasoned Chicken Breast Fillets,Chicken,Dinner,1.0,Piece,150,0,1.50,32,2,0,0,0,95,340
10/18/2020,"Bun, Hamburger, Plain",Hamburger,Dinner,1.0,Serving,110,0,1,3,20,n/a,2,n/a,n/a,180
10/18/2020,Calories,Calories,Dinner,6.0,Each,60,0,0,0,0,0,0,0,0,0
10/18/2020,Hard Seltzer,Cider,Evening Snacks,1.0,Serving,100,0,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a
10/18/2020,"Crackers, Goldfish, Cheddar",Snack,Evening Snacks,27.0,Grams,126,0,4.50,2.70,18,0.90,0,1.80,2.25,216
10/18/2020,Rice Crispy Treat,CerealBar,Evening Snacks,1.0,Serving,90,0,2,0.50,17,0.50,8,0,0,105
10/18/2020,Calories,Calories,Evening Snacks,7.5,Each,75,0,0,0,0,0,0,0,0,0
10/18/2020,"Pomegranate, 3 3/8""",Pomegranate,Evening Snacks,0.5,Each,64,0,0.90,1.29,14.40,0.9,10.53,3.8,0,2.31
10/19/2020,Archer Farms Sliced Tuscan Bread,WhiteBread,Breakfast,2.33,Servings,163,0,n/a,4.66,34.95,n/a,n/a,2.33,n/a,419.40
10/19/2020,Calories,Calories,Breakfast,12.0,Each,120,0,0,0,0,0,0,0,0,0
10/19/2020,Calories,Calories,Breakfast,1.7,Each,17,0,0,0,0,0,0,0,0,0
10/19/2020,"Sausage, Link, Italian, Hot",Sausage,Lunch,42.0,Grams,115,0,9,4.50,3,3.50,1.50,0,32.50,320
10/19/2020,Chilipeño Tortilla Chips,TortillaChip,Lunch,13.0,Each,150,0,8,2,17,0.50,1,2,0,260
10/19/2020,Calories,Calories,Lunch,11.0,Each,110,0,0,0,0,0,0,0,0,0
10/19/2020,Archer Farms Sliced Tuscan Bread,WhiteBread,Evening Snacks,0.93,Serving,65,0,n/a,1.86,13.95,n/a,n/a,0.93,n/a,167.40
10/19/2020,"Peanut Butter, Creamy",PeanutButter,Evening Snacks,10.0,Grams,58,0,4.85,2.12,2.42,0.76,0.91,0.61,0,42.42
10/19/2020,Soft Baked Strawberry Breakfast Bar,Bar,Evening Snacks,1.0,Serving,130,0,3.50,2,25,0.50,12,1,n/a,140
10/19/2020,"Apple, Small",Apple,Evening Snacks,1.0,Each,78,0,0.30,0.40,21,0,15,3.60,0,1
10/19/2020,Calories,Calories,Dinner,50.0,Each,500,0,0,0,0,0,0,0,0,0
10/19/2020,Georgetown Brewing,Beer,Dinner,16.0,Ounces,220,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/19/2020,Calories,Calories,Evening Snacks,10.0,Each,100,0,0,0,0,0,0,0,0,0
10/19/2020,Double Chocolate Chip Cookies,Cookie,Evening Snacks,1.0,Each,70,0,4,1,8.50,n/a,n/a,0.50,n/a,n/a
10/19/2020,Quadratini Dark Chocolate Bite Size Wafer Cookies,Cookie,Evening Snacks,3.0,Pieces,56,0,2.64,0.75,6.75,n/a,3,0.36,n/a,n/a
10/20/2020,Calories,Calories,Breakfast,23.0,Each,230,0,0,0,0,0,0,0,0,0
10/20/2020,Glazed Raised Ring,Donut,Lunch,1.0,Serving,390,0,20,6,49,7,13,0.50,0,330
10/20/2020,"Any'tizers, Popcorn Chicken, White Meat, Fritters",ChickenTenders,Lunch,3.0,Ounces,170,0,7,14,14,1.1,0,2.2,25,600
10/20/2020,"Bun, Hamburger, Plain",Hamburger,Lunch,1.0,Serving,110,0,1,3,20,n/a,2,n/a,n/a,180
10/20/2020,Calories,Calories,Dinner,50.0,Each,500,0,0,0,0,0,0,0,0,0
10/20/2020,Knots with Real Garlic,Breadsticks,Dinner,1.0,Piece,130,0,4,3,19,1,2,0.50,0,220
10/20/2020,"Wine, Red",WineRed,Dinner,5.0,Fluid ounces,125,0,0,0.10,3.84,0,0.91,0,0,5.88
10/20/2020,"Juice, Apple Cider",Cider,Evening Snacks,4.0,Ounces,60,0,0,0.50,14,0,14,0,0,0
10/20/2020,Calories,Calories,Evening Snacks,18.0,Each,180,0,0,0,0,0,0,0,0,0
10/20/2020,Double Chocolate Cookies,Cookie,Evening Snacks,2.0,Pieces,140,0,14,2,30,8,22,2,50,260
10/20/2020,"Fruit Snacks, Berries n' Cherries",Snack,Evening Snacks,0.92,Pouch,74,0,0,0.92,18.40,0,10.12,0,0,9.20
10/21/2020,Calories,Calories,Breakfast,9.5,Each,95,0,0,0,0,0,0,0,0,0
10/21/2020,Calories,Calories,Breakfast,10.0,Each,100,0,0,0,0,0,0,0,0,0
10/21/2020,Calories,Calories,Breakfast,6.0,Each,60,0,0,0,0,0,0,0,0,0
10/21/2020,Calories,Calories,Lunch,30.0,Each,300,0,0,0,0,0,0,0,0,0
10/21/2020,Calories,Calories,Evening Snacks,16.0,Each,160,0,0,0,0,0,0,0,0,0
10/21/2020,"Pear, Small",Pear,Evening Snacks,1.0,Each,86,0,0.18,0.56,22.88,0.1,14.50,4.59,0,1.48
10/21/2020,"Rice Cake, Chocolate Crunch",RiceCake,Evening Snacks,2.0,Each,120,0,2,2,24,0,8,0,0,80
10/21/2020,Calories,Calories,Dinner,115.0,Each,"1,150",0,0,0,0,0,0,0,0,0
10/21/2020,Calories,Calories,Evening Snacks,5.0,Each,50,0,0,0,0,0,0,0,0,0
10/22/2020,Calories,Calories,Breakfast,25.0,Each,250,0,0,0,0,0,0,0,0,0
10/22/2020,Meatball Sandwich (Thin),Sandwich,Lunch,1.0,Serving,580,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/22/2020,Nutri Grain Strawberry,Strawberry,Evening Snacks,1.0,Each,130,0,3.50,2,25,0.50,12,1,0,140
10/22/2020,"Rice Cake, Apple Cinnamon",RiceCake,Evening Snacks,2.0,Each,100,0,0,2,22,0,6,0,0,0
10/22/2020,Calories,Calories,Evening Snacks,5.0,Each,50,0,0,0,0,0,0,0,0,0
10/22/2020,Calories,Calories,Dinner,54.0,Each,540,0,0,0,0,0,0,0,0,0
10/22/2020,Calories,Calories,Dinner,22.5,Each,225,0,0,0,0,0,0,0,0,0
10/22/2020,"Rice Cake, Chocolate Crunch",RiceCake,Evening Snacks,1.0,Each,60,0,1,1,12,0,4,0,0,40
10/22/2020,Double Chocolate Chip Cookies,Cookie,Evening Snacks,1.0,Each,70,0,4,1,8.50,n/a,n/a,0.50,n/a,n/a
10/23/2020,Calories,Calories,Breakfast,20.0,Each,200,0,0,0,0,0,0,0,0,0
10/23/2020,Calories,Calories,Lunch,39.5,Each,395,0,0,0,0,0,0,0,0,0
10/23/2020,Iced Tea: Half N Half Lemonade,IcedTea,Evening Snacks,1.0,Bottle,10,0,0,0,1,0,1,0,0,15
10/23/2020,Vanilla Draft Latte,Latte,Evening Snacks,1.0,Serving,100,0,3,5,14,2,12,0,10,105
10/23/2020,"Bun, Hot Dog, Plain",HotDogBun,Dinner,2.0,Each,220,0,2,n/a,40,n/a,4,2,n/a,360
10/23/2020,Turkey Dog,Sausage,Dinner,2.0,Servings,140,0,7,14,2,1,n/a,n/a,70,900
10/23/2020,Calories,Calories,Dinner,12.0,Each,120,0,0,0,0,0,0,0,0,0
10/23/2020,Chilipeño Tortilla Chips,TortillaChip,Dinner,13.0,Each,150,0,8,2,17,0.50,1,2,0,260
10/23/2020,Hard Seltzer,Cider,Evening Snacks,1.0,Serving,100,0,n/a,n/a,2,n/a,n/a,n/a,n/a,n/a
10/23/2020,"Popcorn, Yellow",Popcorn,Evening Snacks,0.16,Cup,70,0,0.64,2.56,16.64,0,0,3.20,0,6.40
10/23/2020,"Oil, Coconut",Oil,Evening Snacks,0.5,Tablespoon,59,0,6.80,0,0,5.88,0,0,0,0
10/23/2020,Quadratini Dark Chocolate Bite Size Wafer Cookies,Cookie,Evening Snacks,2.0,Pieces,38,0,1.76,0.50,4.50,n/a,2,0.24,n/a,n/a
10/23/2020,Double Chocolate Chip Cookies,Cookie,Evening Snacks,2.0,Each,140,0,8,2,17,n/a,n/a,1,n/a,n/a
10/23/2020,"Goldfish Baked Snack Crackers, Cheddar",Cracker,Evening Snacks,13.0,Grams,61,0,2.17,1.30,8.67,0.43,0,0.22,4.33,108.33
10/23/2020,Calories,Calories,Evening Snacks,8.0,Each,80,0,0,0,0,0,0,0,0,0
10/24/2020,Calories,Calories,Breakfast,40.0,Each,400,0,0,0,0,0,0,0,0,0
10/24/2020,Calories,Calories,Lunch,39.0,Each,390,0,0,0,0,0,0,0,0,0
10/24/2020,Calories,Calories,Evening Snacks,8.0,Each,80,0,0,0,0,0,0,0,0,0
10/24/2020,"Snack, Bar, Rice Krispies Treats, Original",Cookie,Evening Snacks,1.0,Piece,90,0,2.50,1,17,1,7,0,0,105
10/24/2020,Calories,Calories,Dinner,74.5,Each,745,0,0,0,0,0,0,0,0,0
10/24/2020,White Claw,Beer,Evening Snacks,1.0,Serving,100,0,0,0,2,0,2,0,0,20
10/24/2020,Calories,Calories,Evening Snacks,18.0,Each,180,0,0,0,0,0,0,0,0,0
10/25/2020,Calories,Calories,Breakfast,15.0,Each,150,0,0,0,0,0,0,0,0,0
10/25/2020,Nutri-grain Blueberry Cereal Bar,Bar,Breakfast,1.0,Each,120,0,3,2,24,0.50,12,3,0,110
10/25/2020,Calories,Calories,Lunch,40.0,Each,400,0,0,0,0,0,0,0,0,0
10/25/2020,"Rice Cake, Chocolate Crunch",RiceCake,Evening Snacks,2.0,Each,120,0,2,2,24,0,8,0,0,80
10/25/2020,"Crackers, Goldfish, Parmesan",Snack,Evening Snacks,0.75,Serving,98,0,1.88,2.25,18,0.38,0.38,0.38,0,322.50
10/25/2020,Chilipeño Tortilla Chips,TortillaChip,Dinner,13.0,Each,150,0,8,2,17,0.50,1,2,0,260
10/25/2020,Calories,Calories,Dinner,14.0,Each,140,0,0,0,0,0,0,0,0,0
10/25/2020,Corn Tortillas,Tortilla,Dinner,2.0,Each,110,0,1,2,22,0,2,3,0,25
10/25/2020,Calories,Calories,Dinner,3.0,Each,30,0,0,0,0,0,0,0,0,0
10/25/2020,Calories,Calories,Dinner,8.0,Each,80,0,0,0,0,0,0,0,0,0
10/25/2020,"Iced Tea, Arnold Palmer Diet Half & Half Iced Tea Lemonade",IcedTea,Evening Snacks,23.0,Fluid ounces,15,0,0,0,4,0,0,0,0,30
10/25/2020,Beer,Beer,Evening Snacks,28.0,Fluid ounces,357,0,0,3.82,29.49,0,0,0,0,33.23
10/25/2020,Calories,Calories,Evening Snacks,10.0,Each,100,0,0,0,0,0,0,0,0,0
10/25/2020,"Candy, Laffy Taffy, Mini",Candy,Evening Snacks,1.0,Piece,34,0,0.40,0,7.60,0.20,5.20,0,0,11
10/25/2020,"Lemonhead, large",Lemon,Evening Snacks,1.0,Piece,35,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/25/2020,Calories,Calories,Evening Snacks,12.4,Each,124,0,0,0,0,0,0,0,0,0
10/26/2020,Calories,Calories,Breakfast,17.5,Each,175,0,0,0,0,0,0,0,0,0
10/26/2020,"Any'tizers, Popcorn Chicken, White Meat, Fritters",ChickenTenders,Lunch,108.0,Grams,216,0,8.89,17.78,17.78,1.29,0,2.57,31.75,761.92
10/26/2020,"Bun, Hamburger, Plain",Hamburger,Lunch,1.0,Serving,110,0,1,3,20,n/a,2,n/a,n/a,180
10/26/2020,Calories,Calories,Lunch,20.0,Each,200,0,0,0,0,0,0,0,0,0
10/26/2020,Calories,Calories,Evening Snacks,16.0,Each,160,0,0,0,0,0,0,0,0,0
10/26/2020,Calories,Calories,Dinner,60.0,Each,600,0,0,0,0,0,0,0,0,0
10/26/2020,"Rice Cake, Chocolate Crunch",RiceCake,Evening Snacks,1.0,Each,60,0,1,1,12,0,4,0,0,40
10/26/2020,Chocolate Chip Cookies,Cookie,Evening Snacks,2.0,Pieces,140,0,13.50,3,33,7.50,21,0,45,285
10/26/2020,"Crackers, Goldfish, Parmesan",Snack,Evening Snacks,0.7,Serving,91,0,1.75,2.10,16.80,0.35,0.35,0.35,0,301
10/26/2020,Calories,Calories,Evening Snacks,13.0,Each,130,0,0,0,0,0,0,0,0,0
10/27/2020,Eggo Homestyle,Waffles,Breakfast,2.0,Pieces,180,0,n/a,4,30,1.50,4,n/a,n/a,350
10/27/2020,Calories,Calories,Breakfast,3.0,Each,30,0,0,0,0,0,0,0,0,0
10/27/2020,Maple Bar,Donut,Lunch,1.0,Serving,580,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/27/2020,"Goldfish Baked Snack Crackers, Parmesan",Cracker,Evening Snacks,42.0,Pieces,98,0,3.50,2.10,14,0.70,0,0.35,0,182
10/27/2020,"Rice Cake, Chocolate Crunch",RiceCake,Evening Snacks,3.0,Each,180,0,3,3,36,0,12,0,0,120
10/27/2020,Calories,Calories,Dinner,53.5,Each,535,0,0,0,0,0,0,0,0,0
10/27/2020,"Wine, Red",WineRed,Dinner,5.0,Fluid ounces,125,0,0,0.10,3.84,0,0.91,0,0,5.88
10/27/2020,Calories,Calories,Evening Snacks,12.0,Each,120,0,0,0,0,0,0,0,0,0
10/27/2020,Calories,Calories,Breakfast,7.5,Each,75,0,0,0,0,0,0,0,0,0
10/28/2020,"Toaster Strudel, Blueberry",Turnover,Breakfast,1.0,Each,175,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
10/28/2020,Calories,Calories,Lunch,33.0,Each,330,0,0,0,0,0,0,0,0,0
10/28/2020,Baked Sour Cream & Cheddar Cheese Chips,PotatoChip,Lunch,28.0,Grams,120,0,3.50,2,22,0.50,1,1,n/a,250
10/28/2020,"Rice Cake, Chocolate Crunch",RiceCake,Evening Snacks,1.0,Each,60,0,1,1,12,0,4,0,0,40
10/28/2020,Nutrigrain Bar Apple Cinnamon,Bar,Evening Snacks,1.0,Serving,130,0,3,2,26,0.50,13,2,0,85
10/28/2020,"Snack, Bar, Rice Krispies Treats, Original",Cookie,Evening Snacks,1.0,Piece,90,0,2.50,1,17,1,7,0,0,105
10/28/2020,"Pierogies, 4 Cheese Medley",Dumpling,Dinner,6.0,Pieces,420,0,13.50,10.50,64.50,3,3,3,15,990
10/28/2020,"Fruit Snacks, Berries n' Cherries",Snack,Evening Snacks,1.0,Pouch,80,0,0,1,20,0,11,0,0,10
10/28/2020,Calories,Calories,Dinner,9.5,Each,95,0,0,0,0,0,0,0,0,0
10/28/2020,Beer,Beer,Evening Snacks,16.0,Fluid ounces,204,0,0,2.18,16.85,0,0,0,0,18.99
10/28/2020,"Crackers, Goldfish, Cheddar",Snack,Evening Snacks,14.0,Grams,65,0,2.33,1.40,9.33,0.47,0,0.93,1.17,112
10/28/2020,Chocolate Chip Cookies,Cookie,Evening Snacks,1.0,Piece,70,0,6.75,1.50,16.50,3.75,10.50,0,22.50,142.50
10/28/2020,Calories,Calories,Evening Snacks,10.0,Each,100,0,0,0,0,0,0,0,0,0
10/29/2020,Calories,Calories,Breakfast,20.0,Each,200,0,0,0,0,0,0,0,0,0
10/29/2020,Calories,Calories,Lunch,55.0,Each,550,0,0,0,0,0,0,0,0,0
10/29/2020,Sweet & Salty Nut Cashew Bar,CerealBar,Evening Snacks,1.0,Each,160,0,6,2,23,2.50,9,0.50,0,140
10/29/2020,Iced Tea: Half N Half Lemonade,IcedTea,Evening Snacks,1.0,Bottle,10,0,0,0,1,0,1,0,0,15
